AGB100,FIS100,IPB107,IPB108,IPB111,IPB112,KPM130,MAT100,BIO100,EKO100,IPB100,IPB106,KIM101,KOM201,MAT103,CLASS
A,B,AB,B,AB,A,AB,A,C,A,B,A,B,BC,B,HighRisk
A,D,BC,B,B,A,B,BC,D,BC,BC,B,C,BC,D,HighRisk
A,C,B,B,B,A,B,AB,D,C,B,AB,D,B,C,HighRisk
A,C,BC,A,A,A,B,C,D,D,AB,AB,D,A,D,HighRisk
A,C,C,A,AB,A,AB,B,C,AB,A,A,BC,B,BC,HighRisk
A,C,A,AB,B,A,B,A,C,AB,AB,A,BC,A,D,HighRisk
A,C,AB,A,AB,A,A,C,D,C,B,B,BC,AB,BC,HighRisk
A,D,BC,A,B,A,AB,B,D,BC,AB,AB,C,B,BC,HighRisk
A,C,AB,A,AB,B,AB,C,BC,C,AB,AB,BC,AB,C,HighRisk
A,C,BC,C,BC,A,BC,D,D,D,B,C,D,BC,D,HighRisk
A,C,AB,B,AB,A,A,C,D,BC,AB,AB,C,A,D,HighRisk
A,B,AB,AB,AB,A,A,B,BC,A,AB,A,BC,A,D,HighRisk
A,C,BC,A,B,A,AB,D,D,D,B,B,D,AB,D,HighRisk
A,C,B,B,B,A,B,C,C,B,B,B,D,B,D,HighRisk
A,AB,BC,B,BC,A,BC,B,C,C,B,A,C,B,BC,HighRisk
A,C,AB,A,B,A,BC,C,D,D,B,A,C,A,D,HighRisk
A,C,A,A,A,A,AB,BC,B,B,AB,B,BC,B,BC,HighRisk
A,C,D,B,BC,A,BC,C,D,D,AB,B,D,BC,D,HighRisk
A,C,C,BC,B,A,BC,D,D,BC,B,BC,C,B,D,HighRisk
A,C,B,BC,B,A,B,BC,D,B,A,AB,BC,BC,C,HighRisk
A,B,AB,B,A,A,AB,AB,B,AB,A,A,B,B,BC,HighRisk
A,D,C,BC,C,A,BC,BC,D,C,B,B,C,BC,D,HighRisk
A,C,BC,B,AB,A,B,C,D,BC,AB,BC,C,B,C,HighRisk
A,C,B,C,AB,A,BC,D,D,C,B,BC,C,B,D,HighRisk
A,BC,AB,AB,AB,A,B,B,AB,A,A,A,B,AB,BC,HighRisk
A,C,A,AB,AB,A,A,BC,B,AB,AB,AB,BC,B,BC,HighRisk
A,C,BC,BC,AB,A,BC,C,C,C,B,BC,C,B,D,HighRisk
A,BC,B,A,AB,A,B,C,BC,BC,AB,B,BC,AB,C,HighRisk
A,C,B,A,A,A,AB,C,D,D,AB,B,C,AB,D,HighRisk
A,C,B,B,B,A,BC,BC,AB,BC,AB,B,C,B,BC,HighRisk
A,BC,A,B,A,A,AB,BC,D,B,AB,A,C,A,D,HighRisk
A,BC,AB,A,AB,A,B,BC,BC,BC,AB,AB,C,AB,D,HighRisk
B,BC,AB,A,B,B,B,C,BC,D,AB,B,C,A,D,HighRisk
A,B,A,AB,AB,B,AB,B,B,AB,AB,A,BC,A,C,HighRisk
A,D,BC,BC,BC,A,BC,C,D,D,B,B,C,B,D,HighRisk
A,C,BC,A,B,A,B,BC,D,E,AB,AB,D,C,C,HighRisk
A,C,BC,B,BC,A,BC,C,D,C,AB,B,BC,AB,D,HighRisk
A,D,C,BC,C,A,BC,BC,D,C,B,B,C,BC,D,HighRisk
A,C,C,BC,B,A,BC,D,D,BC,B,BC,C,B,D,HighRisk
A,BC,B,A,AB,A,B,C,BC,BC,AB,B,BC,AB,C,HighRisk
A,C,AB,A,AB,B,AB,C,BC,C,AB,AB,BC,AB,C,HighRisk
A,C,BC,A,A,A,B,C,D,D,AB,AB,D,A,D,HighRisk
A,BC,AB,AB,AB,A,B,B,AB,A,A,A,B,AB,BC,HighRisk
A,C,B,BC,B,A,B,BC,D,B,A,AB,BC,BC,C,HighRisk
A,B,AB,B,A,A,AB,AB,B,AB,A,A,B,B,BC,HighRisk
A,C,A,AB,AB,A,A,BC,B,AB,AB,AB,BC,B,BC,HighRisk
A,D,BC,A,B,A,AB,B,D,BC,AB,AB,C,B,BC,HighRisk
A,D,BC,B,B,A,B,BC,D,BC,BC,B,C,BC,D,HighRisk
A,C,BC,A,A,A,B,C,D,D,AB,AB,D,A,D,HighRisk
A,B,AB,B,A,A,AB,AB,B,AB,A,A,B,B,BC,HighRisk
A,C,B,B,B,A,B,C,C,B,B,B,D,B,D,HighRisk
A,C,AB,A,B,A,BC,C,D,D,B,A,C,A,D,HighRisk
A,B,A,AB,AB,B,AB,B,B,AB,AB,A,BC,A,C,HighRisk
A,C,A,A,A,A,AB,BC,B,B,AB,B,BC,B,BC,HighRisk
A,AB,BC,B,BC,A,BC,B,C,C,B,A,C,B,BC,HighRisk
A,D,BC,BC,BC,A,BC,C,D,D,B,B,C,B,D,HighRisk
A,BC,AB,AB,AB,A,B,B,AB,A,A,A,B,AB,BC,HighRisk
A,B,AB,A,B,A,AB,B,BC,A,AB,A,B,A,A,LowRisk
A,B,A,AB,AB,A,A,BC,B,A,AB,AB,BC,AB,BC,LowRisk
A,B,AB,AB,AB,A,AB,B,C,A,AB,AB,C,A,BC,LowRisk
A,BC,A,AB,AB,A,AB,AB,BC,A,AB,A,B,AB,B,LowRisk
A,BC,AB,A,AB,A,A,B,AB,AB,AB,A,B,A,C,LowRisk
A,AB,A,A,A,A,A,A,A,A,AB,A,A,A,A,LowRisk
A,C,AB,B,AB,A,AB,B,C,BC,BC,AB,BC,B,B,LowRisk
A,B,A,A,A,A,AB,AB,AB,A,AB,A,B,A,BC,LowRisk
A,AB,A,A,A,A,A,A,AB,AB,A,A,BC,A,B,LowRisk
A,AB,AB,A,AB,A,AB,B,BC,A,B,A,B,AB,B,LowRisk
A,AB,A,A,AB,A,A,AB,AB,A,AB,A,B,AB,AB,LowRisk
A,C,C,A,B,A,BC,C,D,C,B,AB,BC,A,D,LowRisk
A,B,AB,AB,AB,A,A,A,B,A,AB,A,B,B,AB,LowRisk
A,A,A,A,A,A,A,A,AB,AB,A,AB,AB,A,A,LowRisk
A,AB,B,AB,B,A,B,A,D,A,AB,AB,B,AB,A,LowRisk
A,BC,AB,AB,AB,A,B,A,C,A,AB,A,BC,AB,AB,LowRisk
A,AB,AB,A,A,A,A,A,AB,A,A,A,AB,A,A,LowRisk
A,B,AB,A,AB,A,A,AB,B,BC,B,A,B,A,AB,LowRisk
A,AB,A,A,B,A,A,A,AB,A,B,A,B,A,AB,LowRisk
A,B,B,B,B,A,AB,B,BC,AB,AB,A,BC,AB,BC,LowRisk
A,B,AB,AB,B,A,AB,A,C,AB,AB,B,B,A,A,LowRisk
A,B,B,AB,B,A,A,B,A,A,A,A,BC,AB,BC,LowRisk
A,AB,AB,A,A,A,A,A,AB,A,A,A,B,A,A,LowRisk
A,BC,A,A,A,A,A,AB,B,A,AB,A,B,A,B,LowRisk
A,BC,A,AB,A,A,A,B,AB,A,A,A,AB,B,BC,LowRisk
A,B,AB,AB,B,A,AB,B,B,A,AB,A,BC,AB,C,LowRisk
AB,A,B,AB,AB,A,B,A,BC,AB,BC,AB,AB,A,A,LowRisk
A,AB,A,AB,A,A,A,AB,A,A,A,A,B,A,A,LowRisk
A,AB,A,A,AB,A,A,A,B,A,AB,A,BC,AB,A,LowRisk
A,AB,A,A,A,A,A,A,A,A,A,A,AB,A,A,LowRisk
A,B,A,A,A,A,A,B,B,A,AB,A,BC,A,BC,LowRisk
A,AB,B,A,A,A,A,A,BC,A,A,A,AB,B,A,LowRisk
A,A,A,A,AB,A,AB,A,B,AB,AB,AB,B,A,B,LowRisk
A,AB,AB,A,AB,A,AB,A,BC,AB,AB,A,B,A,BC,LowRisk
A,C,B,B,B,A,AB,BC,B,A,AB,A,BC,B,BC,LowRisk
A,AB,AB,A,A,A,A,AB,A,A,A,A,AB,A,B,LowRisk
A,B,A,A,AB,A,AB,A,AB,A,AB,A,B,A,B,LowRisk
A,AB,B,A,A,A,AB,B,BC,BC,BC,B,C,A,BC,LowRisk
A,AB,A,A,AB,A,AB,B,B,A,AB,B,B,A,B,LowRisk
A,B,A,A,B,A,A,B,B,A,AB,A,BC,AB,BC,LowRisk
AB,B,A,A,AB,A,AB,A,B,A,AB,A,B,A,B,LowRisk
A,B,A,AB,C,A,AB,B,AB,A,AB,A,B,A,B,LowRisk
A,B,A,A,A,A,A,BC,BC,A,AB,A,B,A,A,LowRisk
A,B,B,AB,B,A,AB,B,BC,A,AB,AB,AB,A,AB,LowRisk
A,B,AB,A,AB,A,A,AB,AB,AB,AB,B,AB,A,AB,LowRisk
A,B,A,A,A,A,AB,A,A,A,AB,A,BC,A,B,LowRisk
A,AB,A,A,A,A,A,A,A,A,A,A,B,A,AB,LowRisk
A,B,A,AB,AB,A,AB,AB,D,AB,AB,AB,BC,A,B,LowRisk
AB,B,AB,A,B,A,B,B,B,AB,AB,A,BC,A,BC,LowRisk
A,AB,A,AB,AB,A,A,A,B,A,AB,AB,B,A,B,LowRisk
A,C,B,A,B,A,AB,BC,D,C,B,BC,BC,AB,C,LowRisk
