"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"273","A","A","AB","A","AB","A","AB","AB","B","AB","AB","A","A","A","A","LowRisk"
"147","A","B","B","B","B","A","AB","B","BC","AB","AB","A","BC","AB","BC","MediumRisk"
"106","A","B","A","A","BC","B","AB","AB","A","A","A","A","B","AB","A","MediumRisk"
"122","A","C","BC","A","A","A","B","C","D","D","AB","AB","D","A","D","HighRisk"
"283","A","B","C","B","AB","AB","D","AB","BC","B","BC","AB","A","AB","B","MediumRisk"
"268","A","A","A","A","A","A","A","AB","A","AB","AB","A","A","A","A","LowRisk"
"148","A","B","AB","AB","B","A","AB","A","C","AB","AB","B","B","A","A","LowRisk"
"176","A","AB","A","A","AB","A","AB","B","B","A","AB","B","B","A","B","MediumRisk"
"54","A","B","BC","B","B","B","B","A","B","A","AB","AB","BC","B","A","MediumRisk"
"79","A","AB","A","A","BC","A","AB","AB","AB","AB","A","AB","BC","A","B","LowRisk"
"240","A","BC","A","A","B","B","BC","BC","BC","BC","BC","A","AB","AB","AB","MediumRisk"
"61","A","AB","A","A","AB","A","AB","A","A","A","AB","A","B","A","A","LowRisk"
"136","A","B","AB","AB","AB","A","A","A","B","A","AB","A","B","B","AB","LowRisk"
"67","A","C","BC","AB","BC","B","BC","C","BC","C","B","BC","D","AB","D","HighRisk"
"47","A","D","C","D","B","B","C","D","D","C","AB","B","E","B","D","HighRisk"
"86","A","C","A","AB","C","B","B","B","AB","BC","A","B","BC","AB","BC","HighRisk"
"49","A","AB","A","A","AB","A","A","B","A","A","A","A","BC","A","AB","LowRisk"
"46","A","AB","A","B","B","B","A","A","A","A","AB","A","AB","AB","A","LowRisk"
"277","A","A","AB","A","A","A","A","B","AB","AB","B","A","A","AB","AB","MediumRisk"
"95","A","B","B","AB","AB","A","A","B","AB","AB","A","B","BC","AB","B","MediumRisk"
"150","A","C","A","A","A","A","AB","BC","B","B","AB","B","BC","B","BC","HighRisk"
"213","A","A","AB","B","A","A","B","A","AB","A","B","A","A","A","A","LowRisk"
"33","A","D","BC","B","AB","A","C","D","D","D","B","C","E","BC","D","MediumRisk"
"78","AB","AB","A","A","AB","B","B","A","A","A","A","A","A","A","A","LowRisk"
"232","A","D","AB","A","AB","B","C","C","C","BC","BC","A","AB","AB","B","HighRisk"
"285","A","BC","A","A","AB","A","B","BC","B","B","BC","A","A","A","C","MediumRisk"
"90","A","BC","A","A","A","A","AB","B","AB","BC","B","AB","C","A","C","MediumRisk"
"80","A","BC","A","B","A","A","A","A","BC","A","A","B","C","A","BC","LowRisk"
"73","A","BC","B","B","BC","A","AB","AB","C","AB","AB","AB","C","AB","AB","MediumRisk"
