"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"23","A","C","AB","B","AB","A","AB","C","C","C","A","B","D","AB","C","HighRisk"
"65","A","C","B","B","B","A","BC","BC","AB","BC","AB","B","C","B","BC","HighRisk"
"64","A","C","B","A","A","A","AB","C","D","D","AB","B","C","AB","D","HighRisk"
"196","A","B","B","AB","B","A","A","B","A","A","A","A","BC","AB","BC","LowRisk"
"24","A","C","A","BC","B","A","AB","B","C","B","AB","BC","C","B","C","HighRisk"
"21","A","C","A","B","AB","A","A","B","A","A","A","A","BC","B","C","HighRisk"
"159","A","B","B","AB","AB","A","A","B","AB","AB","A","B","BC","AB","B","LowRisk"
"70","A","D","BC","BC","BC","A","BC","C","D","D","B","B","C","B","D","HighRisk"
"40","A","C","C","A","AB","A","AB","B","C","AB","A","A","BC","B","BC","HighRisk"
"127","A","AB","A","A","A","A","A","A","A","A","AB","A","AB","A","B","LowRisk"
"7","A","AB","AB","AB","AB","A","B","AB","B","A","A","AB","C","D","C","HighRisk"
"155","A","B","A","A","B","A","AB","A","BC","A","AB","B","BC","B","A","LowRisk"
"116","A","AB","A","B","AB","A","A","AB","A","A","A","A","AB","A","A","LowRisk"
"18","A","C","A","AB","B","A","AB","BC","B","B","AB","AB","C","AB","BC","HighRisk"
"194","A","B","B","B","B","A","AB","B","BC","AB","AB","A","BC","AB","BC","LowRisk"
"30","A","C","AB","A","BC","E","B","D","C","C","AB","B","C","B","D","HighRisk"
"143","A","BC","A","B","A","A","A","AB","A","B","A","AB","AB","AB","A","LowRisk"
"183","A","AB","A","A","A","A","A","A","AB","AB","A","A","BC","A","B","LowRisk"
"124","A","A","A","A","B","A","B","A","A","A","A","AB","A","A","A","LowRisk"
