"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"254","A","C","B","A","AB","B","C","C","D","C","D","A","B","AB","D","HighRisk"
"237","A","A","A","A","AB","AB","A","A","B","AB","B","A","A","A","AB","LowRisk"
"181","A","B","A","AB","C","A","AB","B","AB","A","AB","A","B","A","B","LowRisk"
"207","A","B","AB","A","A","A","B","B","B","B","BC","A","A","A","BC","LowRisk"
"7","A","B","A","A","BC","B","AB","A","B","A","AB","AB","BC","B","AB","LowRisk"
"124","A","B","A","A","A","A","AB","AB","AB","A","AB","A","B","A","BC","LowRisk"
"195","A","BC","AB","A","AB","A","B","BC","BC","BC","AB","AB","C","AB","D","HighRisk"
"56","AB","AB","A","A","BC","A","AB","A","AB","A","AB","AB","BC","BC","A","LowRisk"
"82","AB","B","A","AB","B","A","A","B","AB","A","A","A","B","A","B","LowRisk"
"59","A","C","A","B","AB","A","A","B","A","A","A","A","BC","B","C","MediumRisk"
"37","A","AB","A","A","B","A","A","A","A","AB","A","AB","C","A","B","LowRisk"
"105","A","C","AB","BC","B","A","AB","C","C","A","AB","AB","BC","BC","BC","MediumRisk"
"104","A","BC","B","A","AB","A","AB","B","B","A","A","A","BC","AB","AB","LowRisk"
"93","A","BC","A","A","B","A","AB","BC","BC","C","AB","BC","C","AB","D","MediumRisk"
"38","A","AB","A","A","A","A","AB","A","A","A","A","A","A","A","A","LowRisk"
"35","A","D","C","BC","BC","B","D","D","D","C","B","C","D","C","D","HighRisk"
"58","A","AB","A","A","BC","A","A","A","AB","A","B","AB","B","A","A","LowRisk"
"115","A","BC","A","AB","AB","A","AB","AB","BC","A","AB","A","B","AB","B","LowRisk"
"66","A","B","BC","AB","BC","A","B","A","BC","AB","AB","BC","BC","A","A","LowRisk"
"210","A","D","B","A","A","A","C","C","BC","BC","D","AB","A","AB","BC","MediumRisk"
"276","A","D","BC","B","B","A","BC","C","D","C","D","A","B","AB","BC","MediumRisk"
"108","A","BC","AB","AB","AB","A","A","B","BC","AB","A","A","BC","A","B","LowRisk"
"193","A","BC","A","B","A","A","AB","BC","D","B","AB","A","C","A","D","MediumRisk"
"30","A","C","C","BC","B","B","AB","B","BC","B","A","B","D","BC","BC","MediumRisk"
"135","A","B","AB","AB","AB","A","A","B","BC","A","AB","A","BC","A","D","MediumRisk"
"50","A","C","A","A","B","B","AB","B","B","A","AB","A","C","A","B","LowRisk"
"31","A","C","AB","AB","B","A","A","BC","A","B","AB","B","BC","B","D","MediumRisk"
"178","A","B","A","A","B","A","A","B","B","A","AB","A","BC","AB","BC","LowRisk"
"211","A","B","A","A","A","A","B","BC","C","BC","BC","A","AB","A","AB","MediumRisk"
