"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"58","A","D","C","BC","C","A","BC","BC","D","C","B","B","C","BC","D","HighRisk"
"299","A","B","BC","B","B","A","A","BC","C","BC","BC","A","A","AB","AB","MediumRisk"
"120","A","AB","A","A","AB","A","A","B","A","A","A","A","BC","A","AB","LowRisk"
"36","A","C","AB","BC","B","A","AB","C","C","A","AB","AB","BC","BC","BC","HighRisk"
"259","A","C","B","B","B","A","AB","C","C","AB","AB","B","C","B","C","MediumRisk"
"269","A","B","AB","AB","AB","A","AB","B","C","A","AB","AB","C","A","BC","MediumRisk"
"99","AB","E","B","A","B","C","C","D","E","D","D","AB","BC","B","C","HighRisk"
"202","A","AB","B","A","AB","A","AB","A","B","AB","AB","A","B","AB","AB","LowRisk"
"275","A","C","C","A","B","A","BC","C","D","C","B","AB","BC","A","D","MediumRisk"
"115","AB","A","A","A","B","A","A","A","A","A","A","A","A","A","A","LowRisk"
"245","A","BC","AB","A","AB","A","A","AB","B","A","AB","B","BC","AB","B","MediumRisk"
"94","A","B","A","A","A","A","A","AB","BC","BC","C","A","A","A","B","HighRisk"
"272","A","B","A","A","A","A","AB","AB","AB","A","AB","A","B","A","BC","MediumRisk"
"80","A","D","AB","A","AB","B","C","C","C","BC","BC","A","AB","AB","B","HighRisk"
"267","A","B","A","AB","AB","B","A","AB","A","A","AB","A","BC","A","B","MediumRisk"
"256","A","A","A","AB","AB","B","AB","A","AB","AB","A","B","AB","A","B","MediumRisk"
"124","A","AB","A","A","AB","A","AB","A","A","A","AB","A","B","A","A","LowRisk"
"46","A","C","BC","C","BC","A","BC","D","D","D","B","C","D","BC","D","HighRisk"
"153","A","AB","A","A","A","A","A","A","A","A","A","A","AB","A","A","LowRisk"
"39","A","C","B","B","B","A","B","AB","D","C","B","AB","D","B","C","HighRisk"
"208","A","AB","B","A","A","A","A","A","BC","A","A","A","AB","B","A","LowRisk"
"69","B","BC","AB","A","B","B","B","C","BC","D","AB","B","C","A","D","HighRisk"
"38","A","D","BC","B","B","A","B","BC","D","BC","BC","B","C","BC","D","HighRisk"
"177","A","AB","AB","A","AB","A","AB","AB","B","B","B","A","AB","AB","AB","LowRisk"
"192","A","AB","A","B","B","A","B","AB","B","AB","BC","A","AB","A","AB","LowRisk"
"125","A","B","BC","AB","BC","A","B","A","BC","AB","AB","BC","BC","A","A","LowRisk"
"141","A","A","A","A","A","A","A","A","AB","AB","A","AB","AB","A","A","LowRisk"
"300","A","B","AB","A","AB","A","A","BC","D","C","BC","A","AB","A","AB","MediumRisk"
"183","A","A","A","A","AB","AB","AB","AB","AB","A","B","A","A","A","A","LowRisk"
"167","A","AB","B","AB","B","A","B","A","BC","A","AB","AB","AB","A","AB","LowRisk"
"138","A","AB","A","A","A","A","A","A","A","A","AB","A","A","A","A","LowRisk"
"301","A","A","AB","A","BC","AB","A","B","BC","B","BC","A","B","AB","A","MediumRisk"
