"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"139","A","BC","AB","AB","AB","A","B","A","C","A","AB","A","BC","AB","AB","LowRisk"
"165","A","B","A","A","A","A","A","B","B","A","AB","A","BC","A","BC","LowRisk"
"267","A","B","A","A","A","A","A","AB","BC","BC","C","A","A","A","B","HighRisk"
"291","A","BC","A","A","B","B","BC","C","C","BC","C","AB","BC","A","B","HighRisk"
"9","A","B","AB","B","AB","A","B","AB","B","A","AB","AB","BC","AB","A","MediumRisk"
"117","A","AB","A","A","A","A","A","A","A","A","AB","A","A","A","A","LowRisk"
"175","A","C","A","AB","AB","A","A","BC","B","AB","AB","AB","BC","B","BC","HighRisk"
"112","A","B","AB","A","B","A","AB","B","BC","A","AB","A","B","A","A","LowRisk"
"234","A","A","A","A","AB","A","B","AB","AB","A","AB","A","A","AB","B","LowRisk"
"185","A","B","A","A","A","A","AB","A","A","A","AB","A","BC","A","B","MediumRisk"
"121","A","C","B","B","B","A","B","AB","D","C","B","AB","D","B","C","HighRisk"
"212","A","BC","AB","A","AB","AB","C","C","C","BC","D","A","AB","AB","AB","MediumRisk"
"196","A","B","A","A","A","A","A","AB","AB","A","A","A","BC","A","B","LowRisk"
"45","A","C","A","AB","B","A","AB","BC","B","B","AB","AB","C","AB","BC","HighRisk"
"119","A","C","AB","B","AB","A","AB","B","C","BC","BC","AB","BC","B","B","MediumRisk"
"238","A","BC","A","A","AB","A","AB","BC","AB","B","BC","A","A","A","A","LowRisk"
"57","B","BC","A","A","AB","A","AB","AB","A","A","A","A","AB","A","AB","LowRisk"
"10","A","B","AB","A","AB","B","A","AB","B","B","A","AB","BC","AB","B","MediumRisk"
"131","A","C","AB","A","AB","B","AB","C","BC","C","AB","AB","BC","AB","C","HighRisk"
"261","A","A","A","A","AB","AB","AB","AB","AB","A","B","A","A","A","A","LowRisk"
"160","A","AB","A","AB","A","A","A","AB","A","A","A","A","B","A","A","LowRisk"
"110","A","BC","AB","AB","A","B","AB","B","B","AB","A","A","C","AB","BC","LowRisk"
"259","A","A","A","A","A","A","AB","AB","AB","AB","B","A","A","A","A","LowRisk"
"84","A","BC","B","B","AB","A","A","BC","B","AB","AB","B","B","B","BC","MediumRisk"
"17","A","B","A","AB","B","A","A","B","A","A","AB","A","BC","AB","B","LowRisk"
"170","A","C","B","B","B","A","AB","BC","B","A","AB","A","BC","B","BC","MediumRisk"
"274","A","B","A","A","AB","A","BC","BC","BC","B","D","AB","AB","AB","AB","MediumRisk"
"180","AB","B","A","A","AB","A","AB","A","B","A","AB","A","B","A","B","MediumRisk"
"197","B","BC","AB","A","B","B","B","C","BC","D","AB","B","C","A","D","HighRisk"
