"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"85","AB","AB","A","A","B","A","A","A","AB","AB","A","AB","BC","A","A","LowRisk"
"231","A","B","A","A","B","A","B","BC","C","A","B","A","A","AB","A","LowRisk"
"120","A","D","BC","B","B","A","B","BC","D","BC","BC","B","C","BC","D","HighRisk"
"257","A","BC","AB","A","B","B","BC","C","C","BC","D","A","A","A","B","HighRisk"
"272","A","AB","AB","B","A","A","A","B","A","A","B","A","A","A","A","LowRisk"
"14","A","AB","A","A","A","A","A","AB","B","AB","AB","A","BC","A","B","LowRisk"
"152","A","AB","AB","A","A","A","A","A","AB","A","A","A","B","A","A","LowRisk"
"256","A","BC","A","A","BC","A","B","C","BC","C","BC","A","AB","AB","BC","LowRisk"
"158","A","B","AB","B","A","A","AB","AB","B","AB","A","A","B","B","BC","HighRisk"
"130","A","AB","A","A","AB","A","A","AB","AB","A","AB","A","B","AB","AB","LowRisk"
"271","A","B","B","A","B","A","AB","BC","BC","BC","BC","A","AB","B","A","HighRisk"
"128","A","AB","AB","A","AB","A","AB","B","BC","A","B","A","B","AB","B","LowRisk"
"191","A","C","B","A","B","A","AB","BC","D","C","B","BC","BC","AB","C","LowRisk"
"161","A","D","C","BC","C","A","BC","BC","D","C","B","B","C","BC","D","HighRisk"
"29","A","C","AB","B","AB","A","AB","BC","D","AB","B","B","C","AB","C","HighRisk"
"251","A","B","AB","A","AB","AB","B","B","BC","B","C","A","B","AB","B","HighRisk"
"69","A","BC","AB","A","AB","A","A","AB","B","A","AB","B","BC","AB","B","LowRisk"
"12","A","AB","AB","AB","B","A","AB","AB","AB","A","AB","A","B","AB","B","LowRisk"
"91","A","A","A","AB","AB","B","AB","A","AB","AB","A","B","AB","A","B","LowRisk"
"262","A","B","AB","A","B","B","AB","B","B","BC","B","A","A","AB","B","LowRisk"
"243","A","BC","A","B","B","AB","BC","C","D","BC","D","A","AB","AB","BC","HighRisk"
"189","AB","B","AB","A","B","A","B","B","B","AB","AB","A","BC","A","BC","LowRisk"
"174","A","BC","AB","AB","AB","A","B","B","AB","A","A","A","B","AB","BC","HighRisk"
"269","A","BC","A","A","A","A","B","C","BC","BC","C","A","A","AB","A","LowRisk"
"177","A","C","BC","BC","AB","A","BC","C","C","C","B","BC","C","B","D","HighRisk"
"190","A","AB","A","AB","AB","A","A","A","B","A","AB","AB","B","A","B","LowRisk"
"146","A","AB","A","A","B","A","A","A","AB","A","B","A","B","A","AB","LowRisk"
"159","AB","A","B","AB","AB","A","B","A","BC","AB","BC","AB","AB","A","A","LowRisk"
"77","A","C","AB","AB","AB","A","AB","AB","B","B","A","A","C","AB","BC","HighRisk"
"39","A","AB","A","A","AB","A","AB","A","A","AB","AB","B","B","A","B","LowRisk"
