"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"63","A","BC","B","A","AB","A","B","C","BC","BC","AB","B","BC","AB","C","HighRisk"
"153","AB","AB","A","A","B","A","A","A","AB","AB","A","AB","BC","A","A","LowRisk"
"85","A","BC","BC","A","B","B","B","C","D","C","D","AB","A","B","A","HighRisk"
"140","A","B","BC","AB","BC","A","B","A","BC","AB","AB","BC","BC","A","A","LowRisk"
"74","A","D","B","A","A","A","C","C","BC","BC","D","AB","A","AB","BC","HighRisk"
"123","A","AB","A","A","AB","A","A","A","A","A","A","AB","A","A","A","LowRisk"
"103","A","B","AB","B","AB","A","B","AB","B","A","AB","AB","BC","AB","A","LowRisk"
"195","A","B","AB","AB","B","A","AB","A","C","AB","AB","B","B","A","A","LowRisk"
"187","A","B","AB","AB","AB","A","A","A","B","A","AB","A","B","B","AB","LowRisk"
"158","A","B","BC","BC","AB","A","B","B","BC","B","A","A","BC","BC","B","LowRisk"
"162","A","AB","A","A","AB","A","AB","A","A","A","A","A","AB","A","AB","LowRisk"
"136","A","AB","A","A","BC","A","A","A","AB","A","B","AB","B","A","A","LowRisk"
"150","A","B","A","A","A","A","AB","B","B","AB","A","B","B","A","B","LowRisk"
"39","A","C","BC","A","A","A","B","C","D","D","AB","AB","D","A","D","HighRisk"
"170","A","C","B","C","AB","A","A","B","B","BC","A","B","AB","AB","BC","LowRisk"
"147","AB","AB","A","A","AB","B","B","A","A","A","A","A","A","A","A","LowRisk"
"71","A","C","BC","A","B","A","B","BC","D","E","AB","AB","D","C","C","HighRisk"
"5","A","C","B","BC","AB","A","BC","C","D","D","A","AB","D","BC","D","HighRisk"
"16","A","C","B","AB","AB","A","B","AB","C","C","AB","A","C","B","BC","HighRisk"
"92","A","C","C","A","AB","A","BC","BC","D","BC","D","AB","A","AB","C","HighRisk"
