"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"153","A","D","C","BC","C","A","BC","BC","D","C","B","B","C","BC","D","HighRisk"
"217","A","AB","A","A","A","A","AB","A","A","A","A","A","A","A","A","LowRisk"
"356","A","B","AB","A","BC","A","AB","BC","BC","BC","C","A","A","A","BC","LowRisk"
"483","A","C","C","BC","B","A","BC","D","D","BC","B","BC","C","B","D","MediumRisk"
"341","A","AB","AB","A","B","AB","AB","AB","A","AB","BC","A","AB","AB","AB","LowRisk"
"546","A","AB","AB","A","A","A","AB","BC","AB","C","AB","B","BC","AB","B","MediumRisk"
"286","A","AB","B","AB","B","A","B","A","D","A","AB","AB","B","AB","A","LowRisk"
"432","A","C","BC","A","B","A","AB","D","D","D","B","B","D","AB","D","MediumRisk"
"583","A","D","C","D","B","B","C","D","D","C","AB","B","E","B","D","MediumRisk"
"193","A","C","BC","A","B","A","B","BC","D","E","AB","AB","D","C","C","HighRisk"
"106","A","C","B","BC","AB","A","BC","C","D","D","A","AB","D","BC","D","HighRisk"
"420","A","C","AB","BC","B","A","AB","C","C","A","AB","AB","BC","BC","BC","MediumRisk"
"363","A","A","A","A","A","A","AB","AB","AB","AB","B","A","A","A","A","LowRisk"
"358","A","A","A","A","A","A","AB","AB","A","A","BC","A","A","A","A","LowRisk"
"109","A","D","AB","A","BC","A","B","E","D","D","A","B","D","BC","D","HighRisk"
"404","A","C","AB","C","AB","A","AB","BC","C","C","A","B","D","B","D","MediumRisk"
"388","A","AB","A","B","B","A","B","AB","B","AB","BC","A","AB","A","AB","LowRisk"
"244","AB","AB","A","A","AB","B","B","A","A","A","A","A","A","A","A","LowRisk"
"367","A","A","AB","B","AB","A","AB","AB","AB","A","A","A","B","AB","A","LowRisk"
"444","A","C","B","A","A","A","AB","C","D","D","AB","B","C","AB","D","MediumRisk"
"422","A","D","BC","B","B","A","B","BC","D","BC","BC","B","C","BC","D","MediumRisk"
"256","A","B","B","AB","AB","A","A","B","AB","AB","A","B","BC","AB","B","LowRisk"
"571","A","AB","AB","AB","AB","A","B","AB","B","A","A","AB","C","D","C","MediumRisk"
"222","A","AB","A","B","AB","B","A","AB","A","AB","AB","B","B","A","A","LowRisk"
"490","A","C","A","A","A","A","AB","BC","B","B","AB","B","BC","B","BC","MediumRisk"
"370","A","B","A","A","A","A","A","AB","BC","BC","C","A","A","A","B","LowRisk"
"231","AB","AB","A","A","BC","A","AB","A","AB","A","AB","AB","BC","BC","A","LowRisk"
"526","A","AB","AB","A","A","A","AB","BC","AB","C","AB","B","BC","AB","B","MediumRisk"
"154","A","C","BC","B","AB","A","B","C","D","BC","AB","BC","C","B","C","HighRisk"
"335","A","AB","AB","A","A","AB","BC","C","B","AB","B","A","A","AB","A","LowRisk"
"138","A","C","AB","A","BC","E","B","D","C","C","AB","B","C","B","D","HighRisk"
"395","A","AB","AB","AB","AB","A","B","AB","B","A","A","AB","C","D","C","MediumRisk"
"457","A","AB","A","B","B","C","AB","C","AB","BC","BC","B","B","A","BC","MediumRisk"
"377","A","BC","AB","B","AB","AB","AB","C","BC","BC","D","A","A","A","A","LowRisk"
"181","A","D","C","BC","C","A","BC","BC","D","C","B","B","C","BC","D","HighRisk"
"95","A","D","AB","A","BC","A","B","E","D","D","A","B","D","BC","D","HighRisk"
"81","A","D","AB","A","BC","A","B","E","D","D","A","B","D","BC","D","HighRisk"
"538","A","C","B","AB","AB","A","B","AB","C","C","AB","A","C","B","BC","MediumRisk"
"18","A","D","AB","A","BC","A","B","E","D","D","A","B","D","BC","D","HighRisk"
"260","A","BC","A","A","AB","A","AB","A","B","A","A","AB","B","AB","A","LowRisk"
"130","A","C","BC","A","B","A","B","BC","D","E","AB","AB","D","C","C","HighRisk"
"424","A","C","BC","A","A","A","B","C","D","D","AB","AB","D","A","D","MediumRisk"
"465","A","C","C","A","AB","A","BC","BC","D","BC","D","AB","A","AB","C","MediumRisk"
"504","A","C","A","A","A","A","A","BC","BC","C","A","AB","C","AB","BC","MediumRisk"
"104","A","C","AB","A","BC","E","B","D","C","C","AB","B","C","B","D","HighRisk"
"525","A","C","AB","AB","B","A","A","BC","A","B","AB","B","BC","B","D","MediumRisk"
"265","A","BC","B","A","AB","A","AB","B","B","A","A","A","BC","AB","AB","LowRisk"
"486","A","C","AB","B","AB","A","B","BC","BC","B","A","AB","C","BC","C","MediumRisk"
"20","A","D","C","BC","C","A","BC","BC","D","C","B","B","C","BC","D","HighRisk"
"463","A","BC","AB","A","B","B","BC","C","C","BC","D","A","A","A","B","MediumRisk"
"172","A","C","BC","B","B","B","AB","C","C","D","AB","C","C","BC","D","HighRisk"
"523","A","C","A","AB","AB","A","A","BC","B","AB","AB","AB","BC","B","BC","MediumRisk"
"250","AB","AB","A","A","B","A","A","A","AB","AB","A","AB","BC","A","A","LowRisk"
"326","A","AB","AB","A","B","A","AB","B","D","BC","AB","AB","C","B","D","LowRisk"
"220","A","AB","A","A","AB","A","A","A","A","A","A","AB","A","A","A","LowRisk"
"152","A","AB","BC","B","BC","A","BC","B","C","C","B","A","C","B","BC","HighRisk"
"192","A","D","C","BC","C","A","BC","BC","D","C","B","B","C","BC","D","HighRisk"
"21","A","C","B","BC","AB","A","BC","C","D","D","A","AB","D","BC","D","HighRisk"
