"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"215","A","D","BC","B","AB","A","C","D","D","D","B","C","E","BC","D","LowRisk"
"117","A","B","AB","A","B","AB","A","C","D","C","C","A","B","A","A","HighRisk"
"328","A","B","A","AB","AB","A","A","AB","BC","A","AB","AB","B","A","B","LowRisk"
"325","A","AB","BC","AB","AB","A","AB","A","C","A","AB","AB","B","A","A","LowRisk"
"311","A","B","A","A","B","A","A","B","B","A","AB","A","BC","AB","BC","LowRisk"
"36","A","B","AB","B","AB","A","AB","A","C","A","B","A","B","BC","B","HighRisk"
"191","A","B","A","A","A","A","B","BC","C","BC","BC","A","AB","A","AB","HighRisk"
"47","A","B","AB","AB","AB","A","A","B","BC","A","AB","A","BC","A","D","HighRisk"
"167","A","AB","AB","AB","AB","A","B","AB","B","A","A","AB","C","D","C","HighRisk"
"353","A","BC","AB","A","AB","AB","BC","C","D","C","C","A","AB","AB","B","LowRisk"
"318","A","AB","A","A","A","A","A","A","A","A","A","A","B","A","AB","LowRisk"
"143","A","C","A","A","A","A","A","BC","BC","C","A","AB","C","AB","BC","HighRisk"
"352","A","BC","A","A","AB","A","AB","BC","AB","B","BC","A","A","A","A","LowRisk"
"210","A","AB","B","A","BC","A","AB","A","AB","AB","A","B","BC","B","B","LowRisk"
"178","B","C","BC","B","C","A","BC","D","D","C","B","C","D","BC","D","HighRisk"
"100","A","D","BC","B","B","A","BC","C","D","C","D","A","B","AB","BC","HighRisk"
"339","A","A","AB","A","BC","AB","A","B","BC","B","BC","A","B","AB","A","LowRisk"
"310","A","AB","A","A","AB","A","AB","B","B","A","AB","B","B","A","B","LowRisk"
"214","AB","AB","A","A","B","A","AB","A","AB","B","AB","B","B","A","B","LowRisk"
"22","B","C","BC","B","C","A","BC","D","D","C","B","C","D","BC","D","HighRisk"
"164","B","BC","AB","A","B","B","B","C","BC","D","AB","B","C","A","D","HighRisk"
"340","A","A","A","B","A","A","A","AB","A","A","A","A","A","A","A","LowRisk"
"98","A","B","AB","A","B","AB","A","C","D","C","C","A","B","A","A","HighRisk"
"135","A","C","A","BC","B","A","AB","B","C","B","AB","BC","C","B","C","HighRisk"
"109","B","BC","AB","A","B","B","B","C","BC","D","AB","B","C","A","D","HighRisk"
"367","A","A","AB","B","AB","A","AB","AB","AB","A","A","A","B","AB","A","LowRisk"
"132","A","D","BC","B","B","A","BC","C","D","C","D","A","B","AB","BC","HighRisk"
"4","A","BC","BC","BC","AB","B","A","BC","C","C","AB","C","C","BC","D","HighRisk"
"33","A","BC","A","A","B","A","AB","BC","BC","C","AB","BC","C","AB","D","HighRisk"
"29","A","C","AB","AB","AB","A","AB","AB","B","B","A","A","C","AB","BC","HighRisk"
"243","AB","B","AB","A","BC","A","B","B","B","AB","AB","B","C","AB","A","LowRisk"
"13","A","B","B","B","B","B","B","A","A","A","A","A","A","A","A","HighRisk"
"187","A","C","AB","A","AB","B","AB","C","BC","C","AB","AB","BC","AB","C","HighRisk"
"12","A","C","AB","AB","B","A","A","BC","A","B","AB","B","BC","B","D","HighRisk"
"288","A","AB","AB","A","A","A","A","A","AB","A","A","A","AB","A","A","LowRisk"
"52","A","C","A","A","A","A","AB","BC","B","B","AB","B","BC","B","BC","HighRisk"
"294","A","AB","AB","A","A","A","A","A","AB","A","A","A","B","A","A","LowRisk"
"348","A","B","A","A","B","A","B","BC","C","A","B","A","A","AB","A","LowRisk"
"2","B","BC","B","B","B","A","AB","B","BC","B","A","AB","D","A","C","HighRisk"
