"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"234","A","BC","A","AB","B","A","A","B","AB","AB","AB","A","AB","A","B","MediumRisk"
"8","A","C","B","A","AB","E","B","BC","C","C","AB","AB","C","B","BC","HighRisk"
"140","A","B","AB","AB","AB","A","A","A","B","A","AB","A","B","B","AB","LowRisk"
"221","A","B","AB","B","AB","A","B","AB","B","A","AB","AB","BC","AB","A","MediumRisk"
"63","A","C","BC","BC","AB","A","BC","C","C","C","B","BC","C","B","D","HighRisk"
"92","A","BC","B","B","AB","B","BC","C","D","BC","D","B","A","A","B","HighRisk"
"67","A","BC","A","B","A","A","AB","BC","D","B","AB","A","C","A","D","HighRisk"
"41","A","C","C","A","AB","A","AB","B","C","AB","A","A","BC","B","BC","HighRisk"
"119","A","AB","A","B","B","B","A","A","A","A","AB","A","AB","AB","A","LowRisk"
"118","A","A","A","A","B","A","B","A","A","A","A","AB","A","A","A","LowRisk"
"105","A","C","B","B","B","A","B","AB","D","C","B","AB","D","B","C","HighRisk"
"298","A","AB","AB","A","A","AB","BC","C","B","AB","B","A","A","AB","A","MediumRisk"
"40","A","C","BC","A","A","A","B","C","D","D","AB","AB","D","A","D","HighRisk"
"66","A","C","B","B","B","A","BC","BC","AB","BC","AB","B","C","B","BC","HighRisk"
"131","A","AB","A","A","AB","A","AB","A","A","A","A","A","AB","A","AB","LowRisk"
"75","A","D","B","A","A","A","C","C","BC","BC","D","AB","A","AB","BC","HighRisk"
"239","A","BC","A","B","B","B","AB","BC","BC","AB","A","B","B","AB","BC","MediumRisk"
"13","A","C","AB","AB","B","A","A","BC","A","B","AB","B","BC","B","D","HighRisk"
"123","A","AB","A","A","BC","A","A","A","AB","A","B","AB","B","A","A","LowRisk"
"220","A","B","AB","AB","AB","A","AB","B","AB","A","AB","AB","BC","AB","C","MediumRisk"
"34","A","BC","A","A","B","A","AB","BC","BC","C","AB","BC","C","AB","D","HighRisk"
"154","A","B","A","A","A","A","A","B","B","A","AB","A","BC","A","BC","LowRisk"
"57","A","B","AB","B","A","A","AB","AB","B","AB","A","A","B","B","BC","HighRisk"
"35","A","BC","BC","A","BC","A","B","BC","E","A","AB","B","D","BC","D","HighRisk"
"295","A","B","A","A","AB","A","A","C","C","BC","C","A","AB","AB","AB","MediumRisk"
"241","B","BC","A","A","B","A","A","BC","AB","B","A","A","BC","A","C","MediumRisk"
"101","A","C","B","B","B","B","B","B","C","AB","AB","B","C","B","C","HighRisk"
"178","A","A","A","A","A","A","AB","AB","A","A","BC","A","A","A","A","LowRisk"
"26","A","C","BC","AB","BC","B","BC","C","BC","C","B","BC","D","AB","D","HighRisk"
"309","A","BC","A","A","B","B","BC","BC","BC","BC","BC","A","AB","AB","AB","MediumRisk"
"73","A","C","BC","B","BC","A","BC","C","D","C","AB","B","BC","AB","D","HighRisk"
"215","A","A","AB","B","A","A","B","A","AB","A","B","A","A","A","A","LowRisk"
"285","AB","B","A","A","AB","A","AB","A","B","A","AB","A","B","A","B","MediumRisk"
