"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"67","A","BC","A","B","A","A","AB","BC","D","B","AB","A","C","A","D","HighRisk"
"108","A","AB","AB","B","BC","A","B","AB","AB","A","AB","A","BC","AB","AB","LowRisk"
"62","A","C","A","AB","AB","A","A","BC","B","AB","AB","AB","BC","B","BC","HighRisk"
"20","A","D","C","D","B","B","C","D","D","C","AB","B","E","B","D","HighRisk"
"42","A","C","A","AB","B","A","B","A","C","AB","AB","A","BC","A","D","HighRisk"
"115","A","B","AB","AB","AB","A","A","A","B","A","AB","A","B","B","AB","LowRisk"
"71","A","D","BC","BC","BC","A","BC","C","D","D","B","B","C","B","D","HighRisk"
"225","A","C","C","A","B","A","BC","C","D","C","B","AB","BC","A","D","MediumRisk"
"18","A","C","AB","C","AB","A","AB","BC","C","C","A","B","D","B","D","HighRisk"
"190","A","B","BC","B","B","B","B","A","B","A","AB","AB","BC","B","A","MediumRisk"
"216","A","BC","AB","AB","AB","A","A","B","BC","AB","A","A","BC","A","B","MediumRisk"
"230","A","C","B","B","B","A","AB","BC","B","A","AB","A","BC","B","BC","MediumRisk"
"146","A","A","A","A","A","A","A","AB","A","A","B","A","A","A","A","LowRisk"
"242","A","B","A","AB","AB","A","A","AB","BC","A","AB","AB","B","A","B","MediumRisk"
"22","A","C","A","B","AB","A","A","B","A","A","A","A","BC","B","C","HighRisk"
"106","A","AB","A","A","AB","A","AB","A","A","A","A","A","AB","A","AB","LowRisk"
"204","A","B","A","A","B","A","AB","A","BC","A","AB","B","BC","B","A","MediumRisk"
"105","A","AB","A","A","AB","B","A","A","A","A","AB","A","B","A","A","LowRisk"
"51","A","AB","BC","B","BC","A","BC","B","C","C","B","A","C","B","BC","HighRisk"
"30","A","C","AB","AB","AB","A","AB","AB","B","B","A","A","C","AB","BC","HighRisk"
"226","A","B","B","B","B","A","AB","B","BC","AB","AB","A","BC","AB","BC","MediumRisk"
"15","A","B","A","B","AB","A","B","B","B","C","AB","A","BC","BC","B","HighRisk"
"72","A","C","BC","A","B","A","B","BC","D","E","AB","AB","D","C","C","HighRisk"
"79","A","BC","B","A","B","B","B","C","D","C","D","B","A","AB","B","HighRisk"
"92","A","AB","A","A","AB","A","A","A","A","A","A","AB","A","A","A","LowRisk"
