"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"88","A","B","A","A","B","A","AB","A","BC","A","AB","B","BC","B","A","MediumRisk"
"155","A","BC","A","AB","A","A","A","B","AB","A","A","A","AB","B","BC","MediumRisk"
"23","A","AB","AB","AB","AB","A","B","AB","B","A","A","AB","C","D","C","HighRisk"
"89","A","C","AB","B","AB","A","B","BC","BC","B","A","AB","C","BC","C","HighRisk"
"64","A","C","A","BC","B","A","AB","B","C","B","AB","BC","C","B","C","HighRisk"
"187","A","B","A","AB","AB","A","AB","AB","D","AB","AB","AB","BC","A","B","MediumRisk"
"103","A","B","A","B","AB","A","A","A","A","A","A","AB","B","A","AB","MediumRisk"
"184","A","B","AB","A","AB","A","A","AB","AB","AB","AB","B","AB","A","AB","MediumRisk"
"227","A","AB","AB","B","A","A","AB","B","B","AB","BC","A","A","B","AB","MediumRisk"
"179","A","BC","B","A","AB","A","B","C","BC","BC","AB","B","BC","AB","C","HighRisk"
"99","A","BC","A","A","AB","A","AB","A","B","A","A","AB","B","AB","A","MediumRisk"
"169","A","AB","AB","A","AB","A","AB","A","BC","AB","AB","A","B","A","BC","LowRisk"
"140","A","AB","AB","A","A","A","A","A","AB","A","A","A","AB","A","A","LowRisk"
"157","A","B","AB","AB","B","A","AB","B","B","A","AB","A","BC","AB","C","MediumRisk"
"1","A","C","A","A","A","A","A","BC","BC","C","A","AB","C","AB","BC","HighRisk"
"252","A","AB","A","A","AB","A","A","C","B","B","BC","A","A","A","AB","MediumRisk"
"48","A","AB","A","A","A","A","A","A","A","A","AB","A","AB","A","B","MediumRisk"
"83","A","C","AB","A","BC","E","B","D","C","C","AB","B","C","B","D","HighRisk"
"133","A","C","AB","B","AB","A","A","C","D","BC","AB","AB","C","A","D","HighRisk"
"76","AB","B","AB","A","BC","A","B","B","B","AB","AB","B","C","AB","A","MediumRisk"
"24","A","C","B","A","AB","E","B","BC","C","C","AB","AB","C","B","BC","HighRisk"
"52","AB","C","A","B","B","A","B","C","BC","B","AB","C","C","AB","C","HighRisk"
"142","A","C","B","B","B","A","B","C","C","B","B","B","D","B","D","HighRisk"
"292","AB","E","B","A","B","C","C","D","E","D","D","AB","BC","B","C","HighRisk"
"166","A","AB","B","A","A","A","A","A","BC","A","A","A","AB","B","A","LowRisk"
"22","A","C","C","D","B","A","D","E","D","D","A","C","D","C","E","HighRisk"
"275","A","BC","AB","B","AB","AB","AB","C","BC","BC","D","A","A","A","A","MediumRisk"
"204","A","AB","B","AB","B","A","B","A","BC","A","AB","AB","AB","A","AB","LowRisk"
"226","A","A","A","A","A","A","A","AB","A","A","B","A","A","A","A","LowRisk"
