"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"82","A","B","C","B","AB","AB","D","C","D","C","D","AB","AB","AB","D","HighRisk"
"50","A","AB","BC","B","BC","A","BC","B","C","C","B","A","C","B","BC","HighRisk"
"145","A","C","BC","C","BC","A","BC","D","D","D","B","C","D","BC","D","HighRisk"
"144","A","C","B","A","AB","E","B","BC","C","C","AB","AB","C","B","BC","HighRisk"
"128","B","BC","B","B","B","A","AB","B","BC","B","A","AB","D","A","C","HighRisk"
"53","A","C","D","B","BC","A","BC","C","D","D","AB","B","D","BC","D","HighRisk"
"48","A","C","BC","A","B","A","AB","D","D","D","B","B","D","AB","D","HighRisk"
"81","A","AB","A","B","B","C","AB","C","AB","BC","BC","B","B","A","BC","HighRisk"
"160","A","C","A","AB","AB","A","A","BC","B","AB","AB","AB","BC","B","BC","HighRisk"
"91","A","BC","B","B","AB","B","BC","C","D","BC","D","B","A","A","B","HighRisk"
"293","A","B","B","AB","B","A","A","B","A","A","A","A","BC","AB","BC","LowRisk"
"373","A","BC","A","A","A","A","BC","AB","B","B","C","A","AB","AB","B","LowRisk"
"150","A","AB","A","B","B","A","B","B","C","C","C","A","A","AB","B","HighRisk"
"271","AB","C","A","D","AB","A","AB","B","B","BC","A","B","C","A","C","LowRisk"
"42","A","C","AB","A","AB","A","A","C","D","C","B","B","BC","AB","BC","HighRisk"
"189","AB","C","A","B","B","A","B","C","BC","B","AB","C","C","AB","C","HighRisk"
"70","A","D","BC","BC","BC","A","BC","C","D","D","B","B","C","B","D","HighRisk"
"43","A","D","BC","A","B","A","AB","B","D","BC","AB","AB","C","B","BC","HighRisk"
"251","A","BC","AB","A","AB","A","B","AB","B","BC","A","AB","BC","AB","AB","LowRisk"
"298","AB","A","B","AB","AB","A","B","A","BC","AB","BC","AB","AB","A","A","LowRisk"
"124","A","D","BC","BC","BC","A","BC","C","D","D","B","B","C","B","D","HighRisk"
"220","A","AB","A","A","AB","A","A","A","A","A","A","AB","A","A","A","LowRisk"
"32","A","C","AB","B","AB","A","B","BC","BC","B","A","AB","C","BC","C","HighRisk"
"126","A","D","C","D","B","B","C","D","D","C","AB","B","E","B","D","HighRisk"
"90","A","BC","AB","A","B","B","BC","C","C","BC","D","A","A","A","B","HighRisk"
"266","A","B","A","A","BC","B","AB","AB","A","A","A","A","B","AB","A","LowRisk"
"146","A","D","B","A","A","A","C","C","BC","BC","D","AB","A","AB","BC","HighRisk"
"263","A","AB","AB","B","BC","A","B","AB","AB","A","AB","A","BC","AB","AB","LowRisk"
"359","A","B","AB","A","AB","A","B","BC","BC","BC","C","A","A","AB","AB","LowRisk"
"369","A","A","AB","A","AB","A","AB","B","C","BC","B","A","A","AB","AB","LowRisk"
"142","A","B","B","B","A","A","C","BC","C","B","C","A","A","A","A","HighRisk"
"242","A","AB","A","AB","AB","A","AB","A","A","A","AB","A","BC","AB","A","LowRisk"
"201","A","B","AB","A","AB","B","A","AB","B","B","A","AB","BC","AB","B","LowRisk"
"226","A","C","A","A","B","B","AB","B","B","A","AB","A","C","A","B","LowRisk"
"1","A","C","A","A","A","A","A","BC","BC","C","A","AB","C","AB","BC","HighRisk"
"151","A","BC","A","A","B","B","BC","C","C","BC","C","AB","BC","A","B","HighRisk"
"335","A","AB","AB","A","A","AB","BC","C","B","AB","B","A","A","AB","A","LowRisk"
"120","A","D","BC","A","AB","AB","B","BC","C","C","D","A","BC","AB","C","HighRisk"
"192","A","C","B","B","B","A","BC","BC","AB","BC","AB","B","C","B","BC","HighRisk"
