"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"166","A","AB","BC","AB","AB","A","AB","A","C","A","AB","AB","B","A","A","LowRisk"
"136","A","B","A","AB","AB","A","A","BC","B","A","AB","AB","BC","AB","BC","LowRisk"
"247","A","BC","B","B","BC","A","AB","AB","C","AB","AB","AB","C","AB","AB","MediumRisk"
"142","A","AB","B","AB","B","A","B","A","D","A","AB","AB","B","AB","A","LowRisk"
"160","A","B","A","A","A","A","A","BC","BC","A","AB","A","B","A","A","LowRisk"
"262","A","B","A","B","AB","A","A","A","A","A","A","AB","B","A","AB","MediumRisk"
"147","A","B","AB","AB","B","A","AB","A","C","AB","AB","B","B","A","A","LowRisk"
"185","A","A","AB","B","AB","A","AB","AB","AB","A","A","A","B","AB","A","LowRisk"
"211","A","A","A","A","A","A","AB","AB","A","A","BC","A","A","A","A","LowRisk"
"209","A","AB","A","A","A","A","AB","A","A","A","A","A","A","A","A","LowRisk"
"254","A","B","A","A","B","A","AB","A","BC","A","AB","B","BC","B","A","MediumRisk"
"4","A","BC","BC","BC","AB","B","A","BC","C","C","AB","C","C","BC","D","HighRisk"
"9","A","C","B","C","B","A","BC","D","C","C","AB","BC","D","BC","D","HighRisk"
"242","A","AB","AB","A","BC","A","AB","A","AB","A","AB","A","C","A","AB","MediumRisk"
"264","A","B","A","A","BC","B","AB","AB","A","A","A","A","B","AB","A","MediumRisk"
"104","A","C","AB","B","AB","A","A","C","D","BC","AB","AB","C","A","D","HighRisk"
"24","A","C","AB","B","AB","A","AB","C","C","C","A","B","D","AB","C","HighRisk"
"55","A","C","C","BC","B","A","BC","D","D","BC","B","BC","C","B","D","HighRisk"
"32","A","C","A","AB","C","B","B","B","AB","BC","A","B","BC","AB","BC","HighRisk"
"195","A","AB","A","A","A","A","A","A","A","A","AB","A","A","A","A","LowRisk"
"7","A","AB","AB","AB","AB","A","B","AB","B","A","A","AB","C","D","C","HighRisk"
"91","A","BC","AB","A","B","B","BC","C","C","BC","D","A","A","A","B","HighRisk"
"10","A","C","B","B","B","B","B","B","C","AB","AB","B","C","B","C","HighRisk"
"3","A","C","BC","B","B","B","AB","C","C","D","AB","C","C","BC","D","HighRisk"
"325","A","BC","A","A","AB","A","B","BC","B","B","BC","A","A","A","C","MediumRisk"
"174","A","A","A","A","AB","A","B","AB","AB","A","AB","A","A","AB","B","LowRisk"
"65","A","C","B","A","A","A","AB","C","D","D","AB","B","C","AB","D","HighRisk"
"53","A","C","A","A","A","A","AB","BC","B","B","AB","B","BC","B","BC","HighRisk"
"188","A","AB","AB","B","A","A","A","B","A","A","B","A","A","A","A","LowRisk"
"319","A","A","AB","A","A","A","A","B","AB","AB","B","A","A","AB","AB","MediumRisk"
"244","A","AB","A","A","B","A","AB","A","AB","A","A","A","AB","A","A","MediumRisk"
"327","A","BC","AB","A","AB","B","AB","C","BC","BC","D","AB","A","AB","A","MediumRisk"
"163","A","AB","A","AB","AB","A","A","A","B","A","AB","AB","B","A","B","LowRisk"
