"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"123","A","B","B","AB","B","A","A","B","A","A","A","A","BC","AB","BC","LowRisk"
"134","A","B","A","AB","C","A","AB","B","AB","A","AB","A","B","A","B","LowRisk"
"65","A","C","B","A","A","A","AB","C","D","D","AB","B","C","AB","D","HighRisk"
"33","A","C","AB","B","AB","A","B","BC","BC","B","A","AB","C","BC","C","HighRisk"
"237","A","B","A","A","A","A","AB","A","A","A","AB","A","BC","A","B","MediumRisk"
"200","A","B","A","A","A","A","AB","B","B","AB","A","B","B","A","B","MediumRisk"
"152","A","AB","AB","A","AB","A","AB","AB","B","B","B","A","AB","AB","AB","LowRisk"
"175","A","AB","A","A","AB","A","B","A","AB","A","A","A","B","A","B","MediumRisk"
"6","A","C","C","D","B","A","D","E","D","D","A","C","D","C","E","HighRisk"
"104","AB","B","A","AB","B","A","A","B","AB","A","A","A","B","A","B","LowRisk"
"164","A","A","AB","A","AB","A","AB","AB","B","AB","AB","A","A","A","A","LowRisk"
"47","A","C","AB","B","AB","A","A","C","D","BC","AB","AB","C","A","D","HighRisk"
"69","B","BC","AB","A","B","B","B","C","BC","D","AB","B","C","A","D","HighRisk"
"50","A","C","B","B","B","A","B","C","C","B","B","B","D","B","D","HighRisk"
"31","A","C","AB","A","BC","E","B","D","C","C","AB","B","C","B","D","HighRisk"
"88","AB","AB","B","AB","B","A","B","A","B","A","A","A","AB","A","A","LowRisk"
"87","A","B","A","A","B","B","AB","AB","A","A","A","AB","B","A","B","LowRisk"
"78","A","AB","A","B","B","A","B","B","C","C","C","A","A","AB","B","HighRisk"
"32","A","C","A","AB","C","B","B","B","AB","BC","A","B","BC","AB","BC","HighRisk"
"29","A","AB","A","B","AB","A","A","B","A","A","A","A","BC","A","BC","HighRisk"
"49","A","C","BC","A","B","A","AB","D","D","D","B","B","D","AB","D","HighRisk"
"96","AB","AB","A","A","BC","A","AB","A","AB","A","AB","AB","BC","BC","A","LowRisk"
"55","A","C","C","BC","B","A","BC","D","D","BC","B","BC","C","B","D","HighRisk"
"245","A","B","A","A","AB","A","A","C","C","BC","C","A","AB","AB","AB","MediumRisk"
"235","AB","B","A","A","AB","A","AB","A","B","A","AB","A","B","A","B","MediumRisk"
