"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"57","A","D","C","BC","C","A","BC","BC","D","C","B","B","C","BC","D","HighRisk"
"154","A","BC","AB","A","AB","A","B","AB","B","BC","A","AB","BC","AB","AB","LowRisk"
"80","A","C","C","B","BC","B","BC","C","D","D","D","AB","AB","AB","D","HighRisk"
"171","A","BC","AB","AB","AB","A","A","B","BC","AB","A","A","BC","A","B","LowRisk"
"181","A","C","AB","B","AB","A","AB","B","C","BC","BC","AB","BC","B","B","LowRisk"
"9","A","C","B","B","B","B","B","B","C","AB","AB","B","C","B","C","HighRisk"
"101","A","B","A","A","BC","B","AB","A","B","A","AB","AB","BC","B","AB","LowRisk"
"169","A","B","A","A","BC","B","AB","AB","A","A","A","A","B","AB","A","LowRisk"
"104","A","B","AB","A","AB","B","A","AB","B","B","A","AB","BC","AB","B","LowRisk"
"86","A","C","A","A","AB","C","B","C","C","C","D","AB","B","A","B","HighRisk"
"178","A","BC","A","AB","AB","A","AB","AB","BC","A","AB","A","B","AB","B","LowRisk"
"84","A","B","B","B","A","A","C","BC","C","B","C","A","A","A","A","HighRisk"
"125","A","AB","A","B","AB","B","A","AB","A","AB","AB","B","B","A","A","LowRisk"
"105","A","B","A","A","B","B","AB","AB","A","A","A","AB","B","A","B","LowRisk"
"19","A","D","C","D","B","B","C","D","D","C","AB","B","E","B","D","HighRisk"
"163","A","BC","A","A","AB","A","AB","A","B","A","A","AB","B","AB","A","LowRisk"
"45","A","C","BC","C","BC","A","BC","D","D","D","B","C","D","BC","D","HighRisk"
"8","A","C","B","A","AB","E","B","BC","C","C","AB","AB","C","B","BC","HighRisk"
"59","A","C","B","C","AB","A","BC","D","D","C","B","BC","C","B","D","HighRisk"
"189","A","AB","B","AB","B","A","B","A","D","A","AB","AB","B","AB","A","LowRisk"
