"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"54","A","C","D","B","BC","A","BC","C","D","D","AB","B","D","BC","D","HighRisk"
"86","A","BC","BC","A","B","B","B","C","D","C","D","AB","A","B","A","HighRisk"
"173","A","B","A","A","B","A","B","BC","C","A","B","A","A","AB","A","LowRisk"
"74","A","BC","B","A","B","A","C","B","D","BC","C","AB","AB","AB","C","HighRisk"
"210","A","AB","A","A","AB","A","A","A","A","A","A","AB","A","A","A","LowRisk"
"197","A","B","B","AB","B","A","AB","B","BC","A","AB","AB","AB","A","AB","LowRisk"
"169","A","AB","A","A","A","A","B","AB","BC","AB","BC","A","A","AB","A","LowRisk"
"205","A","A","A","B","A","A","A","AB","A","A","A","A","A","A","A","LowRisk"
"50","A","C","B","B","B","A","B","C","C","B","B","B","D","B","D","HighRisk"
"246","A","BC","A","B","A","A","A","AB","A","B","A","AB","AB","AB","A","MediumRisk"
"270","A","BC","AB","A","AB","A","A","B","AB","AB","AB","A","B","A","C","MediumRisk"
"271","A","C","AB","B","AB","A","AB","B","C","BC","BC","AB","BC","B","B","MediumRisk"
"21","AB","C","A","B","B","A","B","C","BC","B","AB","C","C","AB","C","HighRisk"
"320","A","BC","B","A","AB","AB","B","BC","BC","B","C","A","AB","B","A","MediumRisk"
"151","AB","A","B","AB","AB","A","B","A","BC","AB","BC","AB","AB","A","A","LowRisk"
"30","A","C","AB","AB","AB","A","AB","AB","B","B","A","A","C","AB","BC","HighRisk"
"243","A","AB","A","A","A","A","A","A","A","A","A","A","AB","A","A","MediumRisk"
"189","A","A","AB","A","AB","A","AB","AB","B","AB","AB","A","A","A","A","LowRisk"
"6","A","C","C","D","B","A","D","E","D","D","A","C","D","C","E","HighRisk"
"79","A","BC","B","A","B","B","B","C","D","C","D","B","A","AB","B","HighRisk"
"282","A","AB","B","A","A","A","AB","B","BC","BC","BC","B","C","A","BC","MediumRisk"
"253","A","BC","AB","A","AB","A","B","AB","B","BC","A","AB","BC","AB","AB","MediumRisk"
"219","A","AB","A","A","B","B","AB","AB","A","A","AB","A","B","A","A","MediumRisk"
"100","A","B","AB","A","B","AB","A","C","D","C","C","A","B","A","A","HighRisk"
"139","A","AB","A","A","AB","A","A","AB","AB","A","AB","A","B","AB","AB","LowRisk"
"265","A","C","B","C","AB","A","A","B","B","BC","A","B","AB","AB","BC","MediumRisk"
"258","A","B","B","AB","AB","A","A","B","AB","AB","A","B","BC","AB","B","MediumRisk"
"72","A","C","BC","A","B","A","B","BC","D","E","AB","AB","D","C","C","HighRisk"
"113","AB","AB","B","AB","B","A","B","A","B","A","A","A","AB","A","A","LowRisk"
"297","A","BC","A","A","AB","A","AB","BC","D","C","C","A","AB","AB","BC","MediumRisk"
"49","A","C","BC","A","B","A","AB","D","D","D","B","B","D","AB","D","HighRisk"
"228","A","AB","B","A","BC","A","AB","A","AB","AB","A","B","BC","B","B","MediumRisk"
"70","A","B","A","AB","AB","B","AB","B","B","AB","AB","A","BC","A","C","HighRisk"
