"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"80","A","D","AB","A","AB","B","C","C","C","BC","BC","A","AB","AB","B","HighRisk"
"117","A","AB","B","AB","B","A","B","A","D","A","AB","AB","B","AB","A","LowRisk"
"217","A","B","A","AB","AB","B","A","AB","A","A","AB","A","BC","A","B","MediumRisk"
"165","A","A","A","A","B","A","B","AB","B","BC","A","A","A","A","AB","LowRisk"
"94","A","AB","A","B","B","B","A","A","A","A","AB","A","AB","AB","A","LowRisk"
"118","A","BC","AB","AB","AB","A","B","A","C","A","AB","A","BC","AB","AB","LowRisk"
"82","A","AB","A","B","B","C","AB","C","AB","BC","BC","B","B","A","BC","HighRisk"
"8","A","C","B","A","AB","E","B","BC","C","C","AB","AB","C","B","BC","HighRisk"
"44","A","D","BC","A","B","A","AB","B","D","BC","AB","AB","C","B","BC","HighRisk"
"93","A","A","A","A","B","A","B","A","A","A","A","AB","A","A","A","LowRisk"
"98","A","AB","A","A","BC","A","A","A","AB","A","B","AB","B","A","A","LowRisk"
"142","A","AB","B","AB","B","A","B","A","BC","A","AB","AB","AB","A","AB","LowRisk"
"63","A","C","BC","BC","AB","A","BC","C","C","C","B","BC","C","B","D","HighRisk"
"241","A","AB","AB","A","B","A","AB","B","D","BC","AB","AB","C","B","D","MediumRisk"
"206","A","A","A","AB","AB","B","AB","A","AB","AB","A","B","AB","A","B","MediumRisk"
"45","A","C","AB","A","AB","B","AB","C","BC","C","AB","AB","BC","AB","C","HighRisk"
"120","A","B","AB","A","AB","A","A","AB","B","BC","B","A","B","A","AB","LowRisk"
"28","A","D","AB","A","BC","A","B","E","D","D","A","B","D","BC","D","HighRisk"
"101","AB","AB","A","A","AB","B","B","A","A","A","A","A","A","A","A","LowRisk"
"202","AB","AB","A","A","B","A","A","A","AB","AB","A","AB","BC","A","A","MediumRisk"
"157","A","A","A","B","AB","A","AB","AB","A","A","A","A","A","A","A","LowRisk"
"149","A","A","A","A","AB","A","B","AB","AB","A","AB","A","A","AB","B","LowRisk"
"248","A","AB","AB","A","A","AB","BC","C","B","AB","B","A","A","AB","A","MediumRisk"
"97","B","BC","A","A","AB","A","AB","AB","A","A","A","A","AB","A","AB","LowRisk"
"68","A","BC","AB","A","AB","A","B","BC","BC","BC","AB","AB","C","AB","D","HighRisk"
