"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"295","A","BC","A","A","A","A","A","AB","B","A","AB","A","B","A","B","LowRisk"
"5","A","C","B","BC","AB","A","BC","C","D","D","A","AB","D","BC","D","HighRisk"
"368","A","B","AB","A","AB","A","BC","C","B","BC","C","A","A","AB","AB","LowRisk"
"127","A","BC","B","B","AB","B","BC","C","D","BC","D","B","A","A","B","HighRisk"
"155","A","D","BC","A","AB","AB","B","BC","C","C","D","A","BC","AB","C","HighRisk"
"385","A","BC","A","A","AB","A","B","BC","B","B","BC","A","A","A","C","LowRisk"
"161","A","C","C","D","B","A","D","E","D","D","A","C","D","C","E","HighRisk"
"212","A","C","B","C","B","A","BC","D","C","C","AB","BC","D","BC","D","LowRisk"
"389","A","B","BC","B","A","A","A","B","BC","AB","BC","A","AB","AB","AB","LowRisk"
"21","A","C","A","B","AB","A","A","B","A","A","A","A","BC","B","C","HighRisk"
"255","A","B","BC","BC","AB","A","B","B","BC","B","A","A","BC","BC","B","LowRisk"
"345","A","A","AB","A","B","A","BC","AB","C","B","B","A","A","A","A","LowRisk"
"232","B","BC","A","A","AB","A","AB","AB","A","A","A","A","AB","A","AB","LowRisk"
"287","A","BC","AB","AB","AB","A","B","A","C","A","AB","A","BC","AB","AB","LowRisk"
"153","A","D","BC","A","B","A","AB","B","D","BC","AB","AB","C","B","BC","HighRisk"
"65","A","C","B","B","B","A","BC","BC","AB","BC","AB","B","C","B","BC","HighRisk"
"88","A","C","BC","A","B","AB","A","C","D","BC","D","AB","AB","AB","C","HighRisk"
"296","A","BC","A","AB","A","A","A","B","AB","A","A","A","AB","B","BC","LowRisk"
"379","A","BC","B","A","AB","AB","B","BC","BC","B","C","A","AB","B","A","LowRisk"
"278","A","C","AB","B","AB","A","AB","B","C","BC","BC","AB","BC","B","B","LowRisk"
"108","A","D","BC","B","B","A","BC","C","D","C","D","A","B","AB","BC","HighRisk"
"198","A","B","A","A","BC","B","AB","A","B","A","AB","AB","BC","B","AB","LowRisk"
"195","A","C","AB","A","AB","A","A","C","D","C","B","B","BC","AB","BC","HighRisk"
"341","A","AB","AB","A","B","AB","AB","AB","A","AB","BC","A","AB","AB","AB","LowRisk"
"315","A","B","B","AB","B","A","AB","B","BC","A","AB","AB","AB","A","AB","LowRisk"
"34","A","BC","BC","A","BC","A","B","BC","E","A","AB","B","D","BC","D","HighRisk"
"213","A","AB","A","B","AB","A","A","AB","A","A","A","A","AB","A","A","LowRisk"
"223","A","AB","A","B","B","B","A","A","A","A","AB","A","AB","AB","A","LowRisk"
"74","A","D","B","A","A","A","C","C","BC","BC","D","AB","A","AB","BC","HighRisk"
"249","A","BC","B","B","AB","A","A","BC","B","AB","AB","B","B","B","BC","LowRisk"
"72","A","C","BC","B","BC","A","BC","C","D","C","AB","B","BC","AB","D","HighRisk"
"11","A","C","C","BC","B","B","AB","B","BC","B","A","B","D","BC","BC","HighRisk"
"234","A","AB","AB","A","BC","A","AB","A","AB","A","AB","A","C","A","AB","LowRisk"
"221","A","A","A","A","B","A","B","A","A","A","A","AB","A","A","A","LowRisk"
"44","A","C","AB","A","AB","B","AB","C","BC","C","AB","AB","BC","AB","C","HighRisk"
"45","A","C","BC","C","BC","A","BC","D","D","D","B","C","D","BC","D","HighRisk"
"101","A","C","AB","B","AB","A","AB","C","C","C","A","B","D","AB","C","HighRisk"
"245","A","AB","A","A","BC","A","AB","AB","AB","AB","A","AB","BC","A","B","LowRisk"
"371","A","A","A","A","A","A","A","AB","A","AB","AB","A","A","A","A","LowRisk"
