"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"15","A","BC","BC","A","B","B","B","C","D","C","D","AB","A","B","A","HighRisk"
"40","A","C","B","A","AB","E","B","BC","C","C","AB","AB","C","B","BC","MediumRisk"
"21","A","B","AB","AB","AB","A","AB","B","AB","A","AB","AB","BC","AB","C","LowRisk"
"43","A","C","C","BC","B","B","AB","B","BC","B","A","B","D","BC","BC","MediumRisk"
"45","A","B","B","B","B","B","B","A","A","A","A","A","A","A","A","MediumRisk"
"3","A","D","C","BC","BC","B","D","D","D","C","B","C","D","C","D","HighRisk"
"24","A","B","A","A","B","B","AB","AB","A","A","A","AB","B","A","B","LowRisk"
"50","A","D","C","D","B","B","C","D","D","C","AB","B","E","B","D","MediumRisk"
"47","A","C","B","AB","AB","A","B","AB","C","C","AB","A","C","B","BC","MediumRisk"
"20","A","B","A","A","BC","B","AB","A","B","A","AB","AB","BC","B","AB","LowRisk"
"44","A","C","AB","AB","B","A","A","BC","A","B","AB","B","BC","B","D","MediumRisk"
"19","A","AB","A","AB","B","A","A","A","A","A","A","A","A","A","A","LowRisk"
"27","A","AB","A","A","A","A","A","AB","B","AB","AB","A","BC","A","B","LowRisk"
"22","A","B","AB","B","AB","A","B","AB","B","A","AB","AB","BC","AB","A","LowRisk"
"4","A","D","AB","A","BC","A","B","E","D","D","A","B","D","BC","D","HighRisk"
"33","AB","A","A","A","B","A","A","A","A","A","A","A","A","A","A","LowRisk"
"9","A","D","C","BC","C","A","BC","BC","D","C","B","B","C","BC","D","HighRisk"
"2","A","C","B","BC","AB","A","BC","C","D","D","A","AB","D","BC","D","HighRisk"
"11","A","BC","AB","A","AB","A","B","BC","BC","BC","AB","AB","C","AB","D","HighRisk"
"31","A","B","A","B","AB","B","AB","AB","A","A","A","A","B","AB","B","LowRisk"
"28","A","AB","A","A","AB","A","B","A","AB","A","A","A","B","A","B","LowRisk"
"49","A","C","A","AB","B","A","AB","BC","B","B","AB","AB","C","AB","BC","MediumRisk"
"41","A","C","B","B","B","B","B","B","C","AB","AB","B","C","B","C","MediumRisk"
"32","A","AB","B","A","BC","A","AB","A","AB","AB","A","B","BC","B","B","LowRisk"
"18","A","AB","A","A","B","B","AB","AB","A","A","AB","A","B","A","A","LowRisk"
"29","A","B","A","AB","B","A","A","B","A","A","AB","A","BC","AB","B","LowRisk"
"14","A","AB","A","B","B","A","B","B","C","C","C","A","A","AB","B","HighRisk"
"51","AB","C","A","B","B","A","B","C","BC","B","AB","C","C","AB","C","MediumRisk"
"7","A","C","B","B","B","A","B","C","C","B","B","B","D","B","D","HighRisk"
"37","A","BC","BC","BC","AB","B","A","BC","C","C","AB","C","C","BC","D","MediumRisk"
"30","A","B","A","A","A","A","A","BC","AB","A","A","AB","BC","AB","BC","LowRisk"
"26","AB","AB","B","AB","B","A","B","A","B","A","A","A","AB","A","A","LowRisk"
"25","A","AB","AB","AB","B","A","AB","AB","AB","A","AB","A","B","AB","B","LowRisk"
"48","A","C","AB","C","AB","A","AB","BC","C","C","A","B","D","B","D","MediumRisk"
"1","A","C","BC","B","B","B","AB","C","C","D","AB","C","C","BC","D","HighRisk"
"8","A","AB","BC","B","BC","A","BC","B","C","C","B","A","C","B","BC","HighRisk"
"12","A","D","BC","BC","BC","A","BC","C","D","D","B","B","C","B","D","HighRisk"
"38","A","C","C","D","B","A","D","E","D","D","A","C","D","C","E","MediumRisk"
"5","A","C","AB","A","BC","E","B","D","C","C","AB","B","C","B","D","HighRisk"
"46","A","B","A","B","AB","A","B","B","B","C","AB","A","BC","BC","B","MediumRisk"
"34","A","C","B","C","B","A","BC","D","C","C","AB","BC","D","BC","D","LowRisk"
"23","A","B","AB","A","AB","B","A","AB","B","B","A","AB","BC","AB","B","LowRisk"
"10","A","C","BC","B","AB","A","B","C","D","BC","AB","BC","C","B","C","HighRisk"
"6","A","C","AB","A","AB","A","A","C","D","C","B","B","BC","AB","BC","HighRisk"
"35","A","C","A","A","A","A","A","BC","BC","C","A","AB","C","AB","BC","MediumRisk"
"16","A","C","BC","A","B","AB","A","C","D","BC","D","AB","AB","AB","C","HighRisk"
